"","year","area","street_1","street_2"
"92",2011,"Birmingham","Herrick  Road,  Washwood  Heath","Herrick Road, Washwood Heath"
"93",2011,"Birmingham","Herrick  Road,  Washwood  Heath",""
"94",2011,"Birmingham","High  St  Solihull","High St Solihull"
"95",2011,"Birmingham","HIGH  str.  KINGS  HEATH","HIGH str. KINGS HEATH"
"96",2011,"Birmingham","High  str.  Kings  Heath","High str. Kings Heath"
"97",2011,"Birmingham","High  str.,  kings  heath","High str., kings heath"
"98",2011,"Birmingham","Hob  Moor  Road  at  Starbank  Road","Hob Moor Road at Starbank Road"
"99",2011,"Birmingham","Holloway  head  Bham  City  centre","Holloway head Bham City centre"
"100",2011,"Birmingham","Hollywell  Road","Hollywell Road"
"101",2011,"Birmingham","home  address","home address"
"102",2011,"Birmingham","Home  Address","Home Address"
"103",2011,"Birmingham","Homer  str.","Homer str."
"104",2011,"Birmingham","Hunters  Moon  Public  house.","Hunters Moon Public house."
"105",2011,"Birmingham","Hurst  str.","Hurst str."
"106",2011,"Birmingham","Hurst  str.",""
"107",2011,"Birmingham","Hurst  str.",""
"108",2011,"Birmingham","Hurst  str.,  Birmingham","Hurst str., Birmingham"
"109",2011,"Birmingham","Kings  Heath  High  str.","Kings Heath High str."
"110",2011,"Birmingham","KNOWLE  RD,  SMALL  HEATH,  BHAM","KNOWLE RD, SMALL HEATH, BHAM"
"111",2011,"Birmingham","ladypool  Road","ladypool Road"
"112",2011,"Birmingham","ladypool  Road",""
"113",2011,"Birmingham","Ladywell  Walk","Ladywell Walk"
"114",2011,"Birmingham","Lea  Hall  RD","Lea Hall RD"
"115",2011,"Birmingham","Lea  Hall  rd","Lea Hall rd"
"116",2011,"Birmingham","Lea  Village,  Stechford","Lea Village, Stechford"
"117",2011,"Birmingham","Lenches  Close,  Mosley","Lenches Close, Mosley"
"118",2011,"Birmingham","Lime  Tree  Road","Lime Tree Road"
"119",2011,"Birmingham","Lode  Lane  @  Hermitage  Road","Lode Lane @ Hermitage Road"
"120",2011,"Birmingham","Long  str.","Long str."
"121",2011,"Birmingham","Long  str..  Sparkhill","Long str.. Sparkhill"
"122",2011,"Birmingham","Longbridge  Lane","Longbridge Lane"
"123",2011,"Birmingham","LONGMEADOW  CRESCENT  SHARD  END  ,  BHAM","LONGMEADOW CRESCENT SHARD END , BHAM"
"124",2011,"Birmingham","Maccadown  Lane","Maccadown Lane"
"125",2011,"Birmingham","masshouse  lane","masshouse lane"
